Date,Time,Temperature,Humidity,IRsensor,GASsensor,LDRsensor,FLAMEsensor
31/3/2026,17:30:18,32.90,37.00,no,no,no,no
31/3/2026,17:30:20,32.90,37.00,no,no,no,no
31/3/2026,17:30:22,32.90,36.90,no,no,no,no
31/3/2026,17:30:24,32.90,36.80,no,no,no,no
31/3/2026,17:30:26,32.90,36.80,no,no,no,no
31/3/2026,17:30:28,33.00,36.60,no,no,no,no
31/3/2026,17:30:31,33.00,36.60,yes,no,no,no
31/3/2026,17:30:33,33.00,36.50,yes,no,no,no
31/3/2026,17:30:35,33.00,36.50,yes,no,no,no
31/3/2026,17:30:37,33.00,36.50,yes,no,no,no
31/3/2026,17:30:39,33.00,36.30,yes,no,no,no
31/3/2026,17:30:41,33.00,36.20,yes,no,yes,no
31/3/2026,17:30:43,33.00,36.10,yes,no,yes,no
31/3/2026,17:30:45,33.00,36.10,yes,no,yes,no
31/3/2026,17:30:47,33.00,36.00,no,no,no,no
31/3/2026,17:30:49,33.00,35.90,no,no,no,no
31/3/2026,17:30:51,33.00,35.90,no,no,no,no
31/3/2026,17:30:53,33.00,35.90,no,no,no,no
31/3/2026,17:30:55,33.00,35.80,no,no,no,no
31/3/2026,17:30:57,33.00,35.90,no,yes,no,no
31/3/2026,17:30:59,33.00,35.90,no,yes,no,no
31/3/2026,17:31:1,33.00,35.90,no,yes,no,no
31/3/2026,17:31:3,33.00,35.90,no,no,no,no
31/3/2026,17:31:6,33.00,35.80,no,no,no,no
31/3/2026,17:31:8,33.00,35.80,no,no,no,no
31/3/2026,17:31:10,33.00,35.80,no,no,no,no
31/3/2026,17:31:12,33.10,35.80,no,no,no,no
31/3/2026,17:31:14,33.10,35.90,no,no,no,no
31/3/2026,17:31:28,32.80,36.20,no,no,no,no
31/3/2026,17:31:30,32.80,36.30,no,no,no,no
31/3/2026,17:31:32,32.80,36.30,no,no,no,no
31/3/2026,17:31:34,32.80,36.30,no,no,no,no
