Date,Time,Temperature,Humidity
31/3/2026,13:53:41,31.40,38.00
31/3/2026,13:53:44,31.50,38.00
31/3/2026,13:53:46,31.50,37.90
31/3/2026,13:53:48,31.50,37.90
31/3/2026,13:53:51,31.60,37.90
31/3/2026,13:53:53,31.60,37.80
31/3/2026,13:53:55,31.60,37.80
31/3/2026,13:53:57,31.70,37.80
31/3/2026,13:54:0,31.70,37.70
31/3/2026,13:54:2,31.70,37.70
31/3/2026,13:54:4,31.70,37.70
31/3/2026,13:54:6,31.80,37.70
31/3/2026,13:54:8,31.80,37.60
31/3/2026,13:54:10,31.80,37.60
31/3/2026,13:54:12,31.80,37.50
31/3/2026,13:54:14,31.80,37.50
31/3/2026,13:54:16,31.80,37.50
31/3/2026,13:54:18,31.90,37.50
31/3/2026,13:54:20,31.90,37.50
31/3/2026,13:54:22,31.90,37.50
31/3/2026,13:54:24,31.90,37.40
